Product_ID,Product_Name,Principal_ID,Principal_Name,Product_Value,Product_Volume_cm3
PRD-074,Paracetamol 500mg (Genesis),GEN,Genesis Organics,298000,246
PRD-075,Metformin ER (Genesis),GEN,Genesis Organics,373000,78
PRD-076,Atorvastatin 20mg (Genesis),GEN,Genesis Organics,325000,161
PRD-077,Omeprazole 20mg (Genesis),GEN,Genesis Organics,186000,166
PRD-078,Azithromycin 500mg (Genesis),GEN,Genesis Organics,28000,234
PRD-079,Ibuprofen 400mg (Genesis),GEN,Genesis Organics,294000,178
PRD-080,Cetirizine 10mg (Genesis),GEN,Genesis Organics,207000,179
PRD-081,Losartan Potassium (Genesis),GEN,Genesis Organics,133000,210
PRD-082,Amlodipine 5mg (Genesis),GEN,Genesis Organics,330000,213
PRD-083,Vitamin C (Genesis),GEN,Genesis Organics,544000,205
PRD-084,Hydrochlorothiazide 25mg (Genesis),GEN,Genesis Organics,228000,89
PRD-085,Amoxicillin 500mg (Horizon),HOR,Horizon Pharma,407000,245
PRD-086,Paracetamol 500mg (Horizon),HOR,Horizon Pharma,190000,188
PRD-087,Metformin ER (Horizon),HOR,Horizon Pharma,568000,50
PRD-088,Atorvastatin 20mg (Horizon),HOR,Horizon Pharma,356000,175
PRD-089,Omeprazole 20mg (Horizon),HOR,Horizon Pharma,44000,78
PRD-090,Azithromycin 500mg (Horizon),HOR,Horizon Pharma,396000,128
PRD-091,Ibuprofen 400mg (Horizon),HOR,Horizon Pharma,270000,64
PRD-092,Cetirizine 10mg (Horizon),HOR,Horizon Pharma,271000,195
PRD-093,Losartan Potassium (Horizon),HOR,Horizon Pharma,105000,71
PRD-094,Amlodipine 5mg (Horizon),HOR,Horizon Pharma,522000,67
PRD-095,Vitamin C (Horizon),HOR,Horizon Pharma,570000,246
PRD-096,Hydrochlorothiazide 25mg (Horizon),HOR,Horizon Pharma,153000,82
PRD-097,Amoxicillin 500mg (Infinity),INF,Infinity Biotech,511000,190
PRD-098,Paracetamol 500mg (Infinity),INF,Infinity Biotech,194000,117
PRD-099,Metformin ER (Infinity),INF,Infinity Biotech,565000,205
PRD-100,Atorvastatin 20mg (Infinity),INF,Infinity Biotech,458000,104
PRD-101,Omeprazole 20mg (Infinity),INF,Infinity Biotech,577000,243
PRD-102,Azithromycin 500mg (Infinity),INF,Infinity Biotech,230000,232
PRD-103,Ibuprofen 400mg (Infinity),INF,Infinity Biotech,344000,152
PRD-104,Cetirizine 10mg (Infinity),INF,Infinity Biotech,407000,162
PRD-105,Losartan Potassium (Infinity),INF,Infinity Biotech,554000,165
PRD-106,Amlodipine 5mg (Infinity),INF,Infinity Biotech,148000,113
PRD-107,Vitamin C (Infinity),INF,Infinity Biotech,255000,66
PRD-108,Hydrochlorothiazide 25mg (Infinity),INF,Infinity Biotech,371000,55
PRD-109,Amoxicillin 500mg (Janus),JAN,Janus Pharmaceuticals,592000,108
PRD-110,Paracetamol 500mg (Janus),JAN,Janus Pharmaceuticals,250000,51
PRD-111,Metformin ER (Janus),JAN,Janus Pharmaceuticals,97000,231
PRD-112,Atorvastatin 20mg (Janus),JAN,Janus Pharmaceuticals,85000,108
PRD-113,Omeprazole 20mg (Janus),JAN,Janus Pharmaceuticals,94000,58
PRD-114,Azithromycin 500mg (Janus),JAN,Janus Pharmaceuticals,363000,68
PRD-115,Ibuprofen 400mg (Janus),JAN,Janus Pharmaceuticals,551000,110
PRD-116,Cetirizine 10mg (Janus),JAN,Janus Pharmaceuticals,310000,221
PRD-117,Losartan Potassium (Janus),JAN,Janus Pharmaceuticals,522000,104
PRD-118,Amlodipine 5mg (Janus),JAN,Janus Pharmaceuticals,577000,83
PRD-119,Vitamin C (Janus),JAN,Janus Pharmaceuticals,509000,112
PRD-120,Hydrochlorothiazide 25mg (Janus),JAN,Janus Pharmaceuticals,509000,154
